title,author,format,status,pct_complete,first_seen,last_seen,events,sources,note_file
Sundays at Moosewood Restaurant: Ethnic and Regional Recipes from the Cooks at,,print,owned,,2010-05-03,,1,amazon-print,
Home Improvement 1-2-3: Expert Advice from The Home Depot (Home Depot ... 1-2-,,print,owned,,2010-05-03,,1,amazon-print,
Hailstones And Halibut Bones Adventures in color,,print,owned,,2010-03-29,,1,amazon-print,
Make the Impossible Possible: One Man's Crusade to Inspire Others to Dream Big,,print,owned,,2010-02-10,,1,amazon-print,
Gardening All-in-One for Dummies,,print,owned,,2010-02-10,,1,amazon-print,
Simon & Schuster Handbook for Writers (8th Edition) (MyCompLab Series),,print,owned,,2010-01-25,,1,amazon-print,
New Indian Home Cooking,,print,owned,,2009-11-17,,1,amazon-print,
On Writing,,print,owned,,2009-11-17,,1,amazon-print,
Indian Cooking Without Fat: The Revolutionary New Way to Enjoy Healthy and Del,,print,owned,,2009-11-17,,1,amazon-print,
Processing: Creative Coding and Computational Art (Foundation),,print,owned,,2009-10-31,,1,amazon-print,
Country Wisdom & Know-How,,print,owned,,2009-10-28,,1,amazon-print,
A Guide Book of United States Coins 2010: The Official Redbook,,print,owned,,2009-09-19,,1,amazon-print,
"Extraordinary Uses for Ordinary Things: 2,317 Ways to Save Money and Time",,print,owned,,2009-09-19,,1,amazon-print,
Practical Meditation for Busy Souls With Audio CD,,print,owned,,2009-06-22,,2,amazon-print,
Essential Reiki: A Complete Guide to an Ancient Healing Art,,print,owned,,2009-06-22,,1,amazon-print,
The Secret Art of Boabom: Awakening Inner Power Through Defense-Meditation fro,,print,owned,,2009-06-22,,1,amazon-print,
The Tree of Yoga (Shambhala Classics),,print,owned,,2009-04-21,,1,amazon-print,
Exploring Consciousness,Rita Carter,print,owned,,2009-04-21,,1,amazon-print; shelf-photo,
Heart of Darkness and The Congo Diary (Penguin Classics),,print,owned,,2009-04-21,,1,amazon-print,
Veganomicon: The Ultimate Vegan Cookbook,,print,owned,,2009-02-18,,1,amazon-print,
Light: Science and Magic: An Introduction to Photographic Lighting,,print,owned,,2009-02-02,,1,amazon-print,
Awake to Nap,,print,owned,,2009-01-20,,1,amazon-print,
Get Clark Smart : The Ultimate Guide for the Savvy Consumer,,print,owned,,2009-01-20,,1,amazon-print,
Art Forms From The Ocean: The Radiolarian Atlas Of 1862,,print,owned,,2008-11-04,,1,amazon-print,
