title,author,format,status,pct_complete,first_seen,last_seen,events,sources,note_file
The Messy Middle,Scott Belsky,library,borrowed,,2024-10-28,,1,libby,
The ONE Thing,"Gary Keller, Jay Papasan",audiobook+library,finished,100,2024-10-22,2024-10-30,2,audible; libby,
The SaaS Playbook: Build a Multimillion-Dollar Startup Without Venture Capital,,,wishlist,,2024-10-14,,1,audible-wishlist,
Exploring Requirements: Quality Before Design,,print,owned,,2024-09-15,,1,amazon-print,
San Sebastian,,ebook,uncertain,,2024-08-19,,1,kindle,
Learning Domain-Driven Design,Vlad Khononov,ebook+library+print,owned,,2024-08-17,2025-07-10,7,amazon-print; kindle-library; libby; library-via-kindle,
To Engineer Is Human,Henry Petroski,audiobook,owned,,2024-08-17,,1,audible,
48 Laws of Power,Robert Greene,audiobook,owned,,2024-08-17,,1,audible,
"First, Break All the Rules","Marcus Buckingham, Curt Coffman",library,borrowed,,2024-08-05,,1,libby,
Atomic Habits,James Clear,library,borrowed,,2024-08-05,,1,libby,
Transformed,Marty Cagan,audiobook,owned,14,2024-06-21,,1,audible,
Innovating for People Handbook of Human-Centered Design Methods,,print,owned,,2024-05-22,,1,amazon-print,
Grids & Guides (Gray): A Notebook for Visual Thinkers (Blank Deluxe Clothbound,,print,owned,,2024-03-10,,2,amazon-print,
"Visual Intelligence: Sharpen Your Perception, Change Your Life",Amy E. Herman,print,owned,,2024-01-14,,1,amazon-print; shelf-photo,
On Food and Cooking: The Science and Lore of the Kitchen,,print,owned,,2024-01-14,,1,amazon-print,
Outlive,"Peter Attia, MD, Bill Gifford",library,borrowed,,2023-12-26,,1,libby,
Homewaters: A Human and Natural History of Puget Sound,,print,owned,,2023-12-25,,1,amazon-print,
The Weather of the Pacific Northwest,,print,owned,,2023-12-25,,1,amazon-print,
Ikigai Journey: A Practical Guide to Finding Happiness and Purpose the Japanes,Héctor  García,ebook,borrowed,,2023-12-10,,2,kindle-library; library-via-kindle,
How to Ikigai,Tim Tamashiro,library,borrowed,,2023-12-07,2026-02-17,2,libby,
The Manager's Path,Camille Fournier,audiobook+ebook,finished,100,2023-12-07,,2,audible; kindle,
The Leadership Lessons of Gregg Popovich: A Case Study on the San Antonio Spur,,print,owned,,2023-12-03,,1,amazon-print,
Kill the Unicorn,"Emma Hayes,Michael Calvin - contributor",audiobook,finished,100,2023-12-02,,1,audible,
Saving Time,Jenny Odell,library,borrowed,,2023-11-27,,1,libby,
The Practice of Adaptive Leadership,"Ronald A. Heifetz, Marty Linsky, Alexander",audiobook+library,owned,10,2023-11-09,2025-10-29,4,audible; libby,
The Book of Joy,"Dalai Lama, Desmond Tutu, Douglas Carlton ",library,borrowed,,2023-11-08,,1,libby,
"Money, Power, Respect: How Women in Sports Are Shaping the Future of Feminism",,print,owned,,2023-11-07,,1,amazon-print,
Ikigai: The Japanese Secret to a Long and Happy Life,"Héctor García,Francesc Miralles",audiobook+ebook,finished,100,2023-11-05,,2,audible; kindle,
The Great Money Reset,Jill Schlesinger,ebook+library,borrowed,,2023-10-16,2023-10-20,4,kindle-library; libby; library-via-kindle,
Leading with the Heart,"Mike Krzyzewski, Donald T. Phillips",library,borrowed,,2023-10-01,2024-11-02,2,libby,
Movement of Power: Ancient Secrets of Unleashing Instinctual Vitality,Bob Klein,ebook+print,owned,,2023-09-30,,2,kindle; kindle-library; shelf-photo,
Movements of Magic - the Spirit of Tai-chi-Chuan,,ebook,owned,,2023-09-30,,2,kindle; kindle-library,
"Be Water, My Friend",Shannon Lee,library,borrowed,,2023-09-17,,1,libby,
The Gold Standard,"Mike Krzyzewski, Jamie K. Spatola",library,borrowed,,2023-07-18,,1,libby,
Synaptic Self,Joseph LeDoux,library,borrowed,,2023-07-15,,1,libby,
The 5 Choices: The Path to Extraordinary Productivity,"Kory Kogon, Adam Merrill, Leena Rinne",ebook+library,owned,,2023-06-23,,3,kindle; kindle-library; libby,
Lessons in Chemistry: A Novel,,print,owned,,2023-02-26,,1,amazon-print,
"Tomorrow, and Tomorrow, and Tomorrow: A novel",,print,owned,,2023-02-26,,1,amazon-print,
The Light We Carry,Michelle Obama,library,borrowed,,2023-02-20,,1,libby,
Digital Supply Networks: Transform Your Supply Chain and Gain Competitive Adva,,ebook,owned,,2023-01-18,,2,kindle; kindle-library,
Spare,Prince Harry The Duke of Sussex,audiobook,owned,7,2023-01-10,,1,audible,
Daisy Jones & The Six: A Novel,,print,owned,,2023-01-07,,1,amazon-print,
Everyone's Table: Global Recipes for Modern Health,,print,owned,,2023-01-07,,1,amazon-print,
The Creative Act: A Way of Being (Unabridged),Rick Rubin,audiobook,finished,81,2022-12-08,2023-01-17,2,audible; audible-wishlist,
The Chip: How Two Americans Invented the Microchip and Launched a Revolution (,,,wishlist,,2022-11-29,,1,audible-wishlist,
My Family and Other Animals,Gerald Durrell,library,borrowed,,2022-11-27,,1,libby,
Dinners with Ruth,Nina Totenberg,audiobook,owned,,2022-11-27,,1,audible,
The West Wing and Beyond: What I Saw Inside the Presidency,,print,owned,,2022-11-25,,1,amazon-print,
Data Smart: Using Data Science to Transform Information into Insight,,print,owned,,2022-11-25,,1,amazon-print,
Electronics Explained,Louis E. Frenzel,ebook+library,borrowed,,2022-11-02,,3,kindle-library; libby; library-via-kindle,
Conquering the Electron,"Derek Cheung,Eric Brach",audiobook,finished,99,2022-11-01,2022-11-02,2,audible; audible-wishlist,
The Grid: The Fraying Wires Between Americans and Our Energy Future (Unabridge,,,wishlist,,2022-11-01,,1,audible-wishlist,
"Electric Body, Electric Health",Eileen Day McKusick,audiobook,finished,99,2022-10-31,2025-10-04,2,audible; audible-wishlist,
The Great Mental Models: General Thinking Concepts (Unabridged),,,wishlist,,2022-10-31,,1,audible-wishlist,
The Evidence for Modern Physics: How We Know What We Know,,,wishlist,,2022-10-31,,1,audible-wishlist,
The Trusted Advisor,"David H. Maister,Robert M. Galford,Charles",audiobook+ebook,owned,,2022-09-06,,2,audible; kindle,
How to Tell a Story,"The Moth,Meg Bowles,Catherine Burns,Jenife",audiobook,owned,12,2022-08-27,,1,audible,
The Song of Achilles,Madeline Miller,audiobook+ebook,owned,1,2022-08-24,,2,audible; kindle,
Laws of UX: Using Psychology to Design Better Products & Services,,print,owned,,2022-07-18,2022-10-15,2,amazon-print,
Rick Steves Pocket Athens,,print,owned,,2022-07-18,,1,amazon-print,
"Walking on the Greek Islands: The Cyclades: Naxos and the 50km Naxos Strada, P",,print,owned,,2022-07-18,,1,amazon-print,
"Moon Greek Islands & Athens: Island Escapes with Timeless Villages, Scenic Hik",,print,owned,,2022-07-18,,1,amazon-print,
The Old Man and the Sea,Ernest Hemingway,library,borrowed,,2022-05-17,,1,libby,
Future Tense,Tracy Dennis-Tiwary,audiobook,owned,39,2022-05-03,,1,audible,
Powerboat Handling Illustrated: How to Make Your Boat Do Exactly What You Want,,print,owned,,2022-04-14,,1,amazon-print,
How to Read Water,Tristan Gooley,audiobook+ebook,finished,88,2022-04-11,,2,audible; kindle,
"The Pragmatic Programmer: 20th Anniversary Edition, 2nd Edition: Your Journey ",,,wishlist,,2022-04-08,,1,audible-wishlist,
"Computer Science Beginners Crash Course: Coding Data, Python, Algorithms & Hac",,,wishlist,,2022-04-08,,1,audible-wishlist,
Ask For More: 10 Questions to Negotiate Anything (Unabridged),Alexandra Carter,audiobook,finished,98,2022-03-04,2022-05-10,2,audible; audible-wishlist,
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,library,borrowed,,2022-02-27,,1,libby,
How Not to Die,"Michael Greger, M.D., FACLM, Gene Stone",library,borrowed,,2022-02-24,2022-06-23,3,libby,
Critical Path (Unabridged),,,wishlist,,2022-02-15,,1,audible-wishlist,
Steve Jobs (Unabridged),,,wishlist,,2022-02-15,,1,audible-wishlist,
"Chapman Piloting & Seamanship, 69th Edition",,print,owned,,2022-02-14,,1,amazon-print; shelf-photo,
The Elements of Rhetoric -- How to Write and Speak Clearly and Persuasively: A,,print,owned,,2022-02-14,,1,amazon-print,
Proyecto Hail Mary [Project Hail Mary],Andy Weir,audiobook+library,leslie,100,2022-02-06,2022-02-08,2,audible; libby,notes/proyecto-hail-mary.md
Economics in One Lesson (Unabridged),,,wishlist,,2022-01-19,,1,audible-wishlist,
"Illuminate: Ignite Change Through Speeches, Stories, Ceremonies, and Symbols (",,,wishlist,,2022-01-17,,1,audible-wishlist,
To Balance on Bridges,Rhiannon Giddens,audiobook,owned,59,2021-12-27,,1,audible,
Deep Soul Lowdown,Gary Clark Jr.,audiobook,owned,,2021-12-27,,1,audible,
Project Hail Mary (Unabridged),Andy Weir,audiobook,finished,100,2021-12-26,2022-02-06,2,audible; audible-wishlist,
"Black, White, and The Grey: The Story of an Unexpected Friendship and a Belove",,,wishlist,,2021-12-26,,1,audible-wishlist,
The Love Songs of W.E.B. Du Bois: An Oprah’s Book Club Novel (Unabridged),,,wishlist,,2021-12-26,,1,audible-wishlist,
"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human R",,,wishlist,,2021-12-26,,1,audible-wishlist,
Bourdain,Laurie Woolever,audiobook,owned,7,2021-12-12,,1,audible,
Love Warrior: A Memoir (Unabridged),"Glennon Doyle,Glennon Doyle Melton",audiobook,finished,100,2021-11-29,,2,audible; audible-wishlist,
Untamed (Unabridged),,,wishlist,,2021-11-29,,1,audible-wishlist,
Amazon’s Free HQ Tour,The Amazon HQ Tours Team,audiobook,owned,,2021-11-13,,1,audible,
Think Again: The Power of Knowing What You Don't Know (Unabridged),Adam Grant,library,wishlist,,2021-11-07,2024-01-17,2,audible-wishlist; libby,
On Grand Strategy (Unabridged),John Lewis Gaddis,library,wishlist,,2021-11-07,2023-07-21,2,audible-wishlist; libby,
The Body Keeps the Score,Bessel Van Der Kolk,audiobook+library,wishlist,2,2021-11-07,2025-10-04,4,audible; audible-wishlist; libby,
The Four,Scott Galloway,audiobook,wishlist,5,2021-11-07,2021-11-29,2,audible; audible-wishlist,
The Art of Gathering: How We Meet and Why It Matters (Unabridged),,,wishlist,,2021-11-07,,1,audible-wishlist,
Linchpin: Are You Indispensable? (Unabridged),,,wishlist,,2021-11-07,,1,audible-wishlist,
White Fragility: Why It's So Hard for White People to Talk About Racism (Unabr,,,wishlist,,2021-11-04,,1,audible-wishlist,
Why Are All the Black Kids Sitting Together in the Cafeteria?: And Other Conve,,,wishlist,,2021-11-04,,1,audible-wishlist,
The Cold Start Problem: How to Start and Scale Network Effects,Andrew Chen,audiobook+library+print,owned,19,2021-09-28,2022-12-10,3,amazon-print; audible; libby,
Team of Teams,"General Stanley McChrystal, Tantum Collins",library,borrowed,,2021-08-20,,1,libby,
The 5 Second Rule,Mel Robbins,audiobook,owned,41,2021-08-02,,1,audible,
Me,Elton John,library,borrowed,,2021-06-24,,1,libby,
The Ultimate Kauai Guidebook: Kauai Revealed (Ultimate Guidebook),,ebook,owned,,2021-05-31,,2,kindle; kindle-library,
Caste,Isabel Wilkerson,library,borrowed,,2021-05-28,,1,libby,
Ferryboats: A legend on Puget Sound,,print,owned,,2021-05-15,,1,amazon-print,
Extreme Ownership,"Jocko Willink, Leif Babin",library,borrowed,,2021-05-08,2021-06-15,2,libby,
Memorial Drive,Natasha Trethewey,library,borrowed,,2021-04-11,,1,libby,
The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,print,owned,,2021-03-31,,1,amazon-print; shelf-photo,
Cracking the Amazon Interview: A Step by Step Guide to Land the Job,,print,owned,,2021-03-31,,1,amazon-print,
Outcomes Over Output: Why customer behavior is the key metric for business suc,,print,owned,,2021-03-31,,1,amazon-print,
Story 10x: Turn the Impossible Into the Inevitable,Michael Margolis,audiobook+print,owned,46,2021-01-30,2021-09-27,2,amazon-print; audible,
Astrophysics for People in a Hurry,Neil deGrasse Tyson,audiobook,owned,4,2021-01-22,,1,audible,
The Socrates Express,Eric Weiner,audiobook,owned,1,2021-01-22,,1,audible,
Principles,Ray Dalio,audiobook,finished,100,2021-01-22,,1,audible,
Range: Why Generalists Triumph in a Specialized World,,ebook,owned,,2020-12-13,,2,kindle; kindle-library,
The 99% Invisible City: A Field Guide to the Hidden World of Everyday Design,,print,owned,,2020-11-25,,1,amazon-print,
The New York Times Sunday Crossword Omnibus Volume 12: 200 World-Famous Sunday,,print,owned,,2020-11-25,,1,amazon-print,
A Promised Land,Barack Obama,audiobook,finished,100,2020-11-19,,1,audible,
"The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to S",,ebook,owned,,2020-10-12,,2,kindle; kindle-library,
Medical Medium Thyroid Healing,Anthony William,audiobook,finished,100,2020-10-08,,1,audible,
Zone to Win,Geoffrey A. Moore,audiobook+ebook,finished,55,2020-09-28,,2,audible; kindle,
"Getting Real: The Smarter, Faster, Easier Way to Build a Successful Web Applic",,print,owned,,2020-09-07,,1,amazon-print,
Hoh Rainforest,"Gordon Hempton,Audible Sleep",audiobook+ebook,uncertain,84,2020-08-20,,2,audible; kindle,
How to Be an Antiracist,Ibram X. Kendi,audiobook,finished,100,2020-07-25,,1,audible,
Too Much and Never Enough,Mary L. Trump Ph.D. Ph.D.,audiobook,owned,77,2020-07-15,,1,audible,
Storytelling with Data: Let's Practice!,,print,owned,,2020-07-10,,2,amazon-print,
The Fifth Discipline,Peter M. Senge,audiobook,finished,100,2020-06-12,,1,audible,
Touching the Void,Joe Simpson,audiobook,finished,17,2020-05-24,,1,audible,
"100 Classic Hikes: Washington, 3rd Edition: Olympic Peninsula / South Cascades",,print,owned,,2020-05-19,,1,amazon-print,
Day Hiking Snoqualmie Region: Cascade Foothills * I90 Corridor * Alpine Lakes,,print,owned,,2020-05-19,,1,amazon-print,
Eleven Rings,"Phil Jackson,Hugh Delehanty",audiobook,finished,100,2020-05-10,,1,audible,
Saltwater Table: Recipes from the Coastal South,,print,owned,,2020-05-02,,1,amazon-print,
The Essential Enneagram: The Definitive Personality Test and Self-Discovery Gu,"David Daniels,Virginia Price",ebook,borrowed,,2020-03-30,,2,kindle-library; kindle-unlimited,
The Four Agreements,don Miguel Ruiz,audiobook,finished,100,2020-03-25,,1,audible,
Outliers,Malcolm Gladwell,audiobook,finished,100,2020-03-22,,1,audible,
"Break Shot: My First 21 Years: Words + Music, Vol. 2",James Taylor,audiobook+ebook,uncertain,,2020-03-08,,2,audible; kindle,
Life,"Keith Richards,James Fox",audiobook+ebook,uncertain,6,2020-03-02,,2,audible; kindle,
Inspired: How to Create Tech Products Customers Love (Silicon Valley Product G,Marty Cagan,audiobook+ebook+print,owned,29,2020-02-21,2021-05-15,3,amazon-print; audible; kindle,
Ultralearning,Scott H. Young,audiobook+ebook,owned,52,2020-01-14,,2,audible; kindle,
America Vol. 1: The Life and Times of America Chavez,,print,owned,,2019-12-30,,1,amazon-print,
The Education of an Idealist,Samantha Power,audiobook+ebook,owned,15,2019-12-19,,2,audible; kindle,
Moonwalking with Einstein,Joshua Foer,audiobook+ebook,finished,100,2019-12-19,,2,audible; kindle,
Catch and Kill,Ronan Farrow,audiobook+ebook,finished,100,2019-12-19,,2,audible; kindle,
The Anatomy Coloring Book,,print,owned,,2019-11-30,,1,amazon-print,
Blowout,Rachel Maddow,audiobook+ebook,finished,100,2019-11-27,,2,audible; kindle,
Thinking in Systems,Donella H. Meadows,audiobook+ebook,finished,100,2019-10-25,,2,audible; kindle,
The Water Dancer (Oprah’s Book Club),Ta-Nehisi Coates,audiobook+ebook,owned,9,2019-09-28,,2,audible; kindle,
The Sports Gene,David Epstein,audiobook+ebook,finished,100,2019-08-25,,2,audible; kindle,
The Impossible Climb,Mark Synnott,audiobook+ebook,finished,100,2019-07-29,,2,audible; kindle,
Alone on the Wall,"Alex Honnold,David Roberts",audiobook+ebook,finished,95,2019-07-01,,2,audible; kindle,
Do You Talk Funny?,David Nihill,audiobook+ebook,owned,61,2019-06-12,,2,audible; kindle,
Tomorrow I'll Be Brave,,print,owned,,2019-05-25,,1,amazon-print,
The Mueller Report,"Robert S. Mueller III,Special Counsel's Of",audiobook+ebook,owned,35,2019-05-17,,2,audible; kindle,
The Making of a Manager,Julie Zhuo,audiobook+ebook,owned,47,2019-05-04,,2,audible; kindle,
Where the Crawdads Sing: Reese's Book Club,Delia Owens,audiobook+ebook,finished,100,2019-04-24,,2,audible; kindle,
Spanish Vocabulary (Quick Study),,print,owned,,2019-03-31,,1,amazon-print,
E-Z Spanish (Barron's Easy Series),"Silverstein, Wald, Pomerantz",print,owned,,2019-03-31,,1,amazon-print; shelf-photo,
Tragic Design: The Impact of Bad Product Design and How to Fix It,,ebook,owned,,2019-03-04,,2,kindle; kindle-library,
Born to Run,Christopher McDougall,audiobook+ebook,owned,36,2019-03-03,,2,audible; kindle,
Folsom Untold: The Strange True Story of Johnny Cash's Greatest Album,Danny Robins,audiobook+ebook,uncertain,23,2019-02-19,,2,audible; kindle,
The Handmaid's Tale,Margaret Atwood,audiobook+ebook,uncertain,,2019-01-28,,2,audible; kindle,
Elon Musk,Ashlee Vance,audiobook+ebook,owned,,2019-01-28,,2,audible; kindle,
Can't Hurt Me,David Goggins,audiobook+ebook,finished,100,2019-01-26,,2,audible; kindle,
Code Girls,Liza Mundy,audiobook+ebook,owned,16,2019-01-24,,2,audible; kindle,
"Ready or Not!: 150+ Make-Ahead, Make-Over, and Make-Now Recipes by Nom Nom Pal",,print,owned,,2019-01-06,,1,amazon-print,
Pati's Mexican Table: The Secrets of Real Mexican Home Cooking,,print,owned,,2019-01-06,,1,amazon-print,
Viajes: Introduccion al espanol (World Languages),"Hershberger, Navey-Davis, Borras",print,owned,,2019-01-06,,1,amazon-print; shelf-photo,
Becoming,Michelle Obama,audiobook+ebook,finished,100,2018-12-26,,2,audible; kindle,
Leaders Eat Last,Simon Sinek,audiobook+ebook,finished,98,2018-11-25,,2,audible; kindle,
Impro: Improvisation and the Theatre,Keith Johnstone,print,owned,,2018-11-17,,1,amazon-print; shelf-photo,
Redesigning Leadership,"John Maeda,Becky Bermont",audiobook+ebook,finished,99,2018-11-16,,2,audible; kindle,
Bad Blood,John Carreyrou,audiobook+ebook,finished,100,2018-10-25,,2,audible; kindle,
Make Time,"Jake Knapp,John Zeratsky",audiobook+ebook,finished,97,2018-10-25,,2,audible; kindle,
Lonely Planet Peru (Travel Guide),"Lonely Planet,Carolyn McCarthy,Greg Benchw",ebook,borrowed,,2018-09-18,,2,kindle-library; prime-reading,
Saveur,Bonnier Corp,ebook,borrowed,,2018-09-18,,2,kindle-library; prime-reading,
The 7 Habits of Highly Effective People: The Infographics Edition,Stephen R Covey,ebook,borrowed,,2018-09-18,,2,kindle-library; prime-reading,
HBR Guide to Persuasive Presentations (HBR Guide Series),"Harvard Business Review,Nancy Duarte",audiobook+ebook,owned,9,2018-09-17,2019-02-25,4,audible; kindle; kindle-library,
Born a Crime,Trevor Noah,audiobook+ebook,finished,100,2018-09-03,,2,audible; kindle,
Calypso,David Sedaris,audiobook+ebook,finished,100,2018-08-24,,2,audible; kindle,
How to Change Your Mind,Michael Pollan,audiobook+ebook,finished,100,2018-08-24,,2,audible; kindle,
Hiking Atlanta's Hidden Forests: Intown and Out,,print,owned,,2018-07-09,,1,amazon-print,
Hiking Georgia: A Guide to the State's Greatest Hiking Adventures (State Hikin,,print,owned,,2018-07-09,,1,amazon-print,
Why We Sleep,Matthew Walker PhD,audiobook+ebook,owned,33,2018-06-26,,2,audible; kindle,
"Cork Dork: A Wine-Fueled Adventure Among the Obsessive Sommeliers, Big Bottle ",,print,owned,,2018-06-10,,1,amazon-print,
Shoe Dog,Phil Knight,audiobook+ebook,finished,100,2018-06-04,,2,audible; kindle,
The SPEED of TRUST: The One Thing That Changes Everything,,print,owned,,2018-05-16,,1,amazon-print,
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and E,,print,owned,,2018-05-16,,1,amazon-print,
The Emperor of All Maladies,Siddhartha Mukherjee,audiobook+ebook,uncertain,4,2018-04-25,,2,audible; kindle,
The Girl on the Train: A Novel,Paula Hawkins,ebook,borrowed,,2018-04-07,,2,kindle-library; library-via-kindle,
Hooked: How to Build Habit-Forming Products,"Nir Eyal,Ryan Hoover",ebook,borrowed,,2018-04-06,2021-01-13,3,kindle-library; library-via-kindle,
Listography: The Game: May the Best List Win!,,print,owned,,2017-12-13,,1,amazon-print,
"The Southerner's Cookbook: Recipes, Wisdom, and Stories",,print,owned,,2017-12-09,,1,amazon-print,
"Winning with Data: Transform Your Culture, Empower Your People, and Shape the ",,print,owned,,2017-12-07,,1,amazon-print,
Nice Girls Don't Get the Corner Office: Unconscious Mistakes Women Make That S,,print,owned,,2017-12-07,,1,amazon-print,
Peru: The Cookbook,,print,owned,,2017-11-13,,1,amazon-print,
"Thinking, Fast and Slow (Unabridged)",,print,wishlist,,2017-09-30,2023-08-04,2,amazon-print; audible-wishlist,
Information Dashboard Design: The Effective Visual Communication of Data,,print,owned,,2017-09-30,,1,amazon-print,
"The Complete Idiot's Guide to Music Theory, 2nd Edition (Complete Idiot's Guid",,print,owned,,2017-09-30,,1,amazon-print,
City on the Verge: Atlanta and the Fight for Americas Urban Future,,print,owned,,2017-09-22,,1,amazon-print,
Ready Player One,,ebook,owned,,2017-09-05,,2,kindle; kindle-library,
Designing for Emotion,,print,owned,,2017-07-17,,1,amazon-print,
Remarkable!,,print,owned,,2017-04-01,,1,amazon-print,
Information Theory: A Tutorial Introduction,,print,owned,,2017-04-01,,1,amazon-print,
See Yourself X: Human Futures Expanded,,print,owned,,2017-02-18,,1,amazon-print,
The Epic Struggle of the Internet of Things,,ebook,owned,,2017-01-29,,2,kindle; kindle-library,
Dark matter and trojan horses. A strategic design vocabulary.,,ebook,owned,,2017-01-29,,2,kindle; kindle-library,
Start with Why: How Great Leaders Inspire Everyone to Take Action,,print,owned,,2017-01-22,,1,amazon-print,
March (Trilogy Slipcase Set),,print,owned,,2016-11-18,,1,amazon-print,
Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,,print,owned,,2016-11-13,,1,amazon-print,
1Q84 (Vintage International),Haruki Murakami,print,owned,,2016-11-13,,1,amazon-print; shelf-photo,
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,,print,owned,,2016-10-04,,1,amazon-print,
To Sell Is Human: The Surprising Truth About Moving Others,,print,owned,,2016-07-12,,1,amazon-print,
Brooklyn,,ebook,uncertain,,2016-07-04,,1,kindle,
Earl Scruggs and the 5-String Banjo: Revised and Enhanced Edition - Book with ,,print,owned,,2016-06-25,2016-12-16,2,amazon-print,
Osaka Loop Line,,ebook,uncertain,,2016-06-25,,1,kindle,
"Understanding Genetics: DNA, Genes, and Their Real-World Applications","David Sadava,The Great Courses",audiobook+ebook,uncertain,,2016-04-25,,2,audible; kindle,
Americanah,Chimamanda Ngozi Adichie,audiobook+ebook,owned,0,2016-03-25,,2,audible; kindle,
How to Win Friends & Influence People,Dale Carnegie,audiobook+ebook,finished,0,2016-02-17,,2,audible; kindle,
Yes Please,Amy Poehler,audiobook+ebook,owned,16,2016-01-22,,2,audible; kindle,
Modern Romance,"Aziz Ansari,Eric Klinenberg",audiobook+ebook,owned,,2015-12-18,,2,audible; kindle,
Biology: The Science of Life,"Stephen Nowicki,The Great Courses",audiobook+ebook,uncertain,57,2015-11-19,,2,audible; kindle,
Spanish Verbs (Quickstudy: Academic),,print,owned,,2015-11-13,,1,amazon-print,
"Practice Makes Perfect Spanish Verb Tenses, Premium 3rd Edition (Practice Make",,print,owned,,2015-11-13,,1,amazon-print,
Spanish Level 1 Lessons 1-5,Pimsleur,audiobook+ebook,uncertain,89,2015-10-18,,2,audible; kindle,
